ID,OG_category,XENLA_GeneNames,HUMAN_GeneNames,OG_annotation,OG_category_annotation
ENOG411CP7P,T,"pik3r4.S, pik3r4.L",PIK3R4,"phosphoinositide-3-kinase, regulatory subunit 4",Signal Transduction
ENOG411CP7Q,S,"fam208a.S, fam208a.L",TASOR,"family with sequence similarity 208, member A",Function Unknown
ENOG411CP7R,F,"nt5m.L, nt5m.S","NT5M, NT5C","5', 3'-nucleotidase, cytosolic",Nucleotide metabolism and transport
ENOG411CP7S,S,"tex264.S, tex264.L",TEX264,testis expressed 264,Function Unknown
ENOG411CP7T,K,"lhx8.L, lhx8.S",LHX8,LIM homeobox 8,Transcription
ENOG411CP7U,K,"med16.L, med16.S",MED16,mediator complex subunit 16,Transcription
ENOG411CP7V,Q,"isoc2.L, isoc2.S",ISOC2,Isochorismatase domain containing 2,Secondary Structure
ENOG411CP7W,T,gna13.L,"GNA13, GNA12",Guanine nucleotide binding protein (G protein) alpha,Signal Transduction
ENOG411CP7X,K,"znf703.S, Xelaev18001691m.g, Xelaev18000555m.g, Xelaev18025518m.g","ZNF503, ZNF703",Zinc finger protein,Transcription
ENOG411CP7Y,T,"ntf3.S, ntf3.L",NTF3,neurotrophin 3,Signal Transduction
ENOG411CP80,T,"lrrc30.L, lrrc30.S",LRRC30,Leucine rich repeat containing 30,Signal Transduction
ENOG411CP81,T,None,OR52N1,"olfactory receptor, family 52, subfamily N, member",Signal Transduction
ENOG411CP82,S,"msl1.L, msl1.S",MSL1,male-specific lethal 1 homolog (Drosophila),Function Unknown
ENOG411CP83,O,"dtx3.S, dtx3.L",DTX3,deltex homolog 3 (Drosophila),Post-translational modification
ENOG411CP84,I,"acat1.L, acat1.S",ACAT1,acetyl-CoA acetyltransferase 1,Lipid metabolism
ENOG411CP85,C,slc25a48.L,SLC25A48,Solute carrier family 25 member 48,Energy production and conversion
ENOG411CP86,S,"sugp1.L, sugp1.S",SUGP1,SURP and G patch domain containing 1,Function Unknown
ENOG411CP87,J,dph2.L,DPH2,DPH2 homolog (S. cerevisiae),Tranlsation
ENOG411CP88,E,crym.L,CRYM,"Crystallin, mu",Amino Acid metabolis and transport
ENOG411CP89,B,"Xelaev18025152m.g, Xelaev18025153m.g, Xelaev18023022m.g",MYSM1,"Myb-like, SWIRM and MPN domains 1",Chromatin Structure and dynamics
ENOG411CP8A,S,NA,NAA20,"N(alpha)-acetyltransferase 20, NatB catalytic subunit",Function Unknown
ENOG411CP8B,O,"mib2.L, mib2.S",MIB2,mindbomb E3 ubiquitin protein ligase 2,Post-translational modification
ENOG411CP8C,T,lrrc48.L,DRC3,leucine rich repeat containing 48,Signal Transduction
ENOG411CP8D,TV,col4a3bp.S,COL4A3BP,"collagen, type IV, alpha 3 (Goodpasture antigen) binding protein",NA
ENOG411CP8E,O,"ubr5.S, ubr5.L",UBR5,Ubiquitin protein ligase E3 component n-recognin 5,Post-translational modification
ENOG411CP8F,TU,"syngr3.S, syngr3.L",SYNGR3,Synaptogyrin 3,NA
ENOG411CP8G,V,"ssh1.L, ssh2.S, ssh2.L","SSH3, SSH2, SSH1",slingshot homolog,NA
ENOG411CP8H,S,"greb1.L, Xelaev18031898m.g, Xelaev18033641m.g, Xelaev18003283m.g, greb1.S","GREB1, GREB1L",growth regulation by estrogen in breast,Function Unknown
ENOG411CP8I,T,"alpk3.L, alpk2.L, alpk3.S, alpk2.S","ALPK3, ALPK2",alpha-kinase,Signal Transduction
ENOG411CP8J,A,clasrp.L,CLASRP,CLK4-associating serine arginine rich protein,RNA processing and modification
ENOG411CP8K,K,"zbtb25.S, zbtb25.L",ZBTB25,Zinc finger and BTB domain containing 25,Transcription
ENOG411CP8M,U,"amph.L, bin1.L, bin1.S",AMPH,Bridging integrator 1,Intracellular trafficing and secretion
ENOG411CP8N,Z,"sept2-a.L, sept2-a.S, sept2.S",SEPTIN2,septin 2,Cytoskeleton
ENOG411CP8P,Z,NA,"MYL4, MYL3",myosin light chain,Cytoskeleton
ENOG411CP8R,J,"eif3h.S, eif3h.L",EIF3H,"Component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is required for several steps in the initiation of protein synthesis. The eIF-3 complex associates with the 40S ribosome and facilitates the recruitment of eIF-1, eIF-1A, eIF-2 GTP methionyl-tRNAi and eIF-5 to form the 43S preinitiation complex (43S PIC). The eIF-3 complex stimulates mRNA recruitment to the 43S PIC and scanning of the mRNA for AUG recognition. The eIF-3 complex is also required for disassembly and recycling of post-termination ribosomal complexes and subsequently prevents premature joining of the 40S and 60S ribosomal subunits prior to initiation (By similarity)",Tranlsation
ENOG411CP8T,A,NA,METTL3,methyltransferase like 3,RNA processing and modification
ENOG411CP8V,O,erlec1.L,ERLEC1,Endoplasmic reticulum lectin 1,Post-translational modification
ENOG411CP8W,S,"arrdc2.L, arrdc2.S",ARRDC2,Arrestin domain containing 2,Function Unknown
ENOG411CP8X,S,"tnmd.L, tnmd.S",TNMD,Tenomodulin,Function Unknown
ENOG411CP8Y,T,NA,KLHL7,Kelch-like 7 (Drosophila),Signal Transduction
ENOG411CP8Z,T,ccr7.S,CCR7,Chemokine (C-C motif) receptor 7,Signal Transduction
ENOG411CP90,W,"loc100170549.S, loc100170549.L, lamb4.L",LAMB4,"laminin, beta 4",NA
ENOG411CP93,S,"brox.S, brox.L",BROX,BRO1 domain and CAAX motif containing,Function Unknown
ENOG411CP94,J,NA,NOP9,NOP9 nucleolar protein homolog (yeast),Tranlsation
ENOG411CP95,U,NA,SSR1,"signal sequence receptor, alpha",Intracellular trafficing and secretion
ENOG411CP96,T,"fgf5.L, fgf5.S",FGF5,fibroblast growth factor 5,Signal Transduction
ENOG411CP98,OW,"mmp24.S, mmp16.S, mmp16.L, mmp24.L","MMP24, MMP16",matrix metallopeptidase,NA
ENOG411CP99,T,"dock2.L, dock5.L","DOCK2, DOCK5",dedicator of cyto-kinesis,Signal Transduction
ENOG411CP9A,U,"synpr.L, synpr.S, syp.S, syp.L","SYP, SYNPR",Synaptoporin,Intracellular trafficing and secretion
ENOG411CP9D,C,"akr7a2.S, akr7a2.L","AKR7A2, AKR7L, AKR7A3","aldo-keto reductase family 7, member A2 (aflatoxin aldehyde reductase)",Energy production and conversion
ENOG411CP9E,E,"loc100497030-like.S, srr.L",SRR,serine racemase,Amino Acid metabolis and transport
ENOG411CP9F,T,"rapgefl1.S, rapgefl1.L",RAPGEFL1,Rap guanine nucleotide exchange factor (GEF)-like 1,Signal Transduction
ENOG411CP9H,I,"ces2.L, loc100493819-like.L, loc100493652-like.L, loc100494149.L","CES2, CES1, CES5A",Carboxylesterase,Lipid metabolism
ENOG411CP9I,B,"baz1a.L, baz1a.S",BAZ1A,"Bromodomain adjacent to zinc finger domain, 1A",Chromatin Structure and dynamics
ENOG411CP9J,U,"cldn6.2.S, cldn4.L, cldn4.S, cldn3.S, cldn6.1.L","CLDN3, CLDN4, CLDN9, CLDN6",claudin 6,Intracellular trafficing and secretion
ENOG411CP9K,G,"gyg1.L, gyg1.S, gyg2.L","GYG2, GYG1",Glycogenin,Carbohydrate metabolism and transport
ENOG411CP9M,U,ttyh3.L,"TTYH3, TTYH2",Tweety homolog,Intracellular trafficing and secretion
ENOG411CP9P,O,"selt.S, selt.L",SELENOT,selenoprotein T,Post-translational modification
ENOG411CP9Q,U,"wfs1.L, wfs1.S",WFS1,Wolfram syndrome 1 (wolframin),Intracellular trafficing and secretion
ENOG411CP9S,O,"pcsk5.S, pcsk6.S, pcsk6.L, pcsk5.L","PCSK5, PCSK6",proprotein convertase subtilisin kexin type,Post-translational modification
ENOG411CP9T,T,"blnk.S, blnk.L",BLNK,B-cell linker,Signal Transduction
ENOG411CP9U,T,tcte1.L,TCTE1,T-complex-associated-testis-expressed 1,Signal Transduction
ENOG411CP9V,O,"uchl5.S, uchl5.L",UCHL5,ubiquitin carboxyl-terminal hydrolase L5,Post-translational modification
ENOG411CP9X,A,gpatch11.L,GPATCH11,coiled-coil domain containing 75,RNA processing and modification
ENOG411CP9Y,U,"selplg.S, selplg-like.L",SELPLG,Selectin P ligand,Intracellular trafficing and secretion
ENOG411CP9Z,S,c5orf22.L,C5orf22,chromosome 5 open reading frame 22,Function Unknown
ENOG411CPA0,T,"aatk.L, aatk.S, lmtk3.L, lmtk3.S","AATK, LMTK3",tyrosine kinase,Signal Transduction
ENOG411CPA1,TU,"loc101734468.S, syt4.S, loc101734468.L","SYT4, SYT11",Synaptotagmin,NA
ENOG411CPA2,S,mdm1.L,MDM1,Mdm1 nuclear protein homolog (mouse),Function Unknown
ENOG411CPA3,U,rtn2.S,RTN2,Reticulon 2,Intracellular trafficing and secretion
ENOG411CPA4,S,"dzip1l.L, dzip1l.S",DZIP1L,DAZ interacting protein 1-like,Function Unknown
ENOG411CPA5,D,sfi1-like.L,SFI1,"Sfi1 homolog, spindle assembly associated (yeast)",Cell cycle control and mitosis
ENOG411CPA6,P,"Xelaev18033184m.g, atp2c2.L, Xelaev18033185m.g, Xelaev18031124m.g, atp2c2.S","ATP2C1, ATP2C2","ATPase, Ca transporting, type 2C, member",Inorganic ion transport and metabolism
ENOG411CPA7,S,"st7l.L, st7.S","ST7, ST7L",Suppression of tumorigenicity 7,Function Unknown
ENOG411CPA8,P,"kcnmb4.L, kcnmb4.S",KCNMB4,"potassium large conductance calcium-activated channel, subfamily M, beta member 4",Inorganic ion transport and metabolism
ENOG411CPA9,J,rpl12.L,RPL12,Ribosomal protein L12,Tranlsation
ENOG411CPAB,J,"diexf.L, diexf.S",DIEXF,Digestive organ expansion factor homolog (Zebrafish),Tranlsation
ENOG411CPAC,O,"galnt3.S, Xelaev18013496m.g, Xelaev18015973m.g, Xelaev18013495m.g, Xelaev18015974m.g, galnt3.L","GALNT3, GALNT6",UDP-N-acetyl-alpha-D-galactosamine polypeptide N-acetylgalactosaminyltransferase,Post-translational modification
ENOG411CPAD,T,"gabbr2.S, gabbr1.S, gabbr1.L","GABBR1, GABBR2",Gamma-aminobutyric acid (GABA) B receptor,Signal Transduction
ENOG411CPAE,I,"stra6.L, stra6.S",STRA6,stimulated by retinoic acid 6 homolog (mouse),Lipid metabolism
ENOG411CPAF,S,NA,MKS1,Meckel syndrome type 1,Function Unknown
ENOG411CPAG,P,"slc41a1.L, slc41a2.S, slc41a1.S","SLC41A1, SLC41A2",solute carrier family 41 member,Inorganic ion transport and metabolism
ENOG411CPAH,S,"rwdd3.L, rwdd3.S",RWDD3,RWD domain containing 3,Function Unknown
ENOG411CPAI,K,"foxa2.S, foxa4.S, foxa2.L","FOXA1, FOXA2",forkhead box,Transcription
ENOG411CPAK,S,"loc105946059.L, ephx1.L",EPHX1,"Epoxide hydrolase 1, microsomal (Xenobiotic)",Function Unknown
ENOG411CPAM,T,"cdk18.S, cdk18.L",CDK18,Cyclin-dependent kinase 18,Signal Transduction
ENOG411CPAN,W,"clstn3.L, clstn2.L, clstn2.S, clstn1.S, clstn3.S","CLSTN1, CLSTN2, CLSTN3",Calsyntenin,NA
ENOG411CPAP,O,"fam219b.S, fam219b.L",FAM219B,"family with sequence similarity 219, member B",Post-translational modification
ENOG411CPAQ,S,zcchc8.L,ZCCHC8,"Zinc finger, CCHC domain containing 8",Function Unknown
ENOG411CPAR,S,c2cd3.S,C2CD3,C2 calcium-dependent domain containing 3,Function Unknown
ENOG411CPAT,U,"pcdhac2.L, Xetrov90007373m.S, Xetrov90007415m.L, loc100490196.L, Xetrov90007419m.S, loc100493106.L, Xelaev18017031m.g, loc101731215.L, Xelaev18021585m.g, Xelaev18021583m.g, loc101731686.L, Xelaev18017037m.g, Xelaev18017036m.g, loc101734840.S, Xelaev18017062m.g, Xetrov90007415m.S, Xetrov90007378m.S, Xetrov90007451m.L, loc101732081.S, Xelaev18017084m.g, Xetrov90007434m.S, Xelaev18021578m.g, Xetrov90007402m.L, Xelaev18021579m.g, loc101732081.L, Xelaev18017029m.g, Xetrov90007416m.L, Xelaev18017041m.g, Xelaev18017080m.g, Xetrov90007417m.S, pcdhga11.L, Xetrov90007372m.L, pcdhgc4.S, Xelaev18021587m.g, Xelaev18021580m.g, Xelaev18017027m.g, Xelaev18021582m.g, Xelaev18017060m.g, loc105946885.L, Xetrov90007418m.L, Xelaev18017039m.g, pcdhgc4.L, Xelaev18017086m.g, Xelaev18017034m.g, Xelaev18017082m.g, Xelaev18017083m.g, Xetrov90007436m.L, Xelaev18017064m.g, Xelaev18017033m.g, Xelaev18021577m.g, Xetrov90007374m.L, loc101731572.L, pcdhgb7.L, Xelaev18021562m.g, loc101731450.L, Xelaev18021575m.g, Xelaev18017035m.g, Xelaev18021556m.g, Xetrov90007418m.S, Xelaev18017030m.g, loc101734840.L, loc101734317.L, Xetrov90007405m.S, Xetrov90007435m.L, Xelaev18021555m.g, loc100493596.L, Xelaev18021591m.g, loc100492310.S, Xelaev18021576m.g, Xetrov90007374m.S, loc101733946.S, loc100494436.L, Xelaev18021581m.g, Xelaev18021594m.g, loc101733840.L, loc101733840.S, Xelaev18017063m.g, loc100489983.L, Xelaev18017038m.g, Xetrov90007416m.S, Xelaev18017023m.g, Xelaev18017044m.g, Xetrov90007450m.S, Xetrov90007449m.L, pcdha8.L, Xelaev18021551m.g, Xetrov90007440m.L, loc101734467.L, Xelaev18017040m.g, Xetrov90007453m.L, loc100492310.L, Xelaev18017087m.g, loc101733947.L, Xelaev18021558m.g, Xetrov90007400m.S, Xelaev18017025m.g, Xetrov90007436m.S, loc101734768.S, Xetrov90007417m.L, Xetrov90007432m.L, loc101733894.L, Xelaev18017081m.g, Xetrov90007434m.L, Xelaev18021552m.g, loc101733946.L, loc101731154.S, Xetrov90007419m.L, loc101731032.S, Xetrov90007402m.S, Xetrov90007399m.S, loc101731572.S, Xelaev18017028m.g, loc101734004.L, Xelaev18017042m.g, Xelaev18017043m.g, pcdhac2.S","PCDHAC1, PCDHGA10, PCDHGA4, PCDHGA8, PCDHA11, PCDHGA9, PCDHGA7, PCDHA3, PCDHGA12, PCDHGA11, PCDHGA5, PCDHA8, PCDHGA6, PCDHA5, PCDHA13, PCDHGA3, PCDHA7, PCDHGA1, PCDHA6, PCDHA4, PCDHGA2, PCDHA2, PCDHA9, PCDHA10, PCDHA12, PCDHA1, PCDHAC2, PCDHB15, PCDHB13, PCDHGC5, PCDHB8, PCDHB9, PCDHB11, PCDHB5, PCDHGC3, PCDHB10, PCDHB4, PCDHB1, PCDHGC4",Potential calcium-dependent cell-adhesion protein. May be involved in the establishment and maintenance of specific neuronal connections in the brain,Intracellular trafficing and secretion
ENOG411CPAU,U,rab35.L,RAB35,"RAB35, member RAS oncogene family",Intracellular trafficing and secretion
ENOG411CPAV,W,"sntg1.L, sntg1.S",SNTG1,"syntrophin, gamma 1",NA
ENOG411CPAW,T,"sh3gl2.S, sh3gl3.S, sh3gl3.L, sh3gl1.S","SH3GL2, SH3GL3, SH3GL1",SH3-domain GRB2-like,Signal Transduction
ENOG411CPAX,O,rp2.L,RP2,Retinitis pigmentosa 2 (X-linked recessive),Post-translational modification
ENOG411CPAY,Z,"clip3.L, clip4.S, clip4.L",CLIP3,CAP-GLY domain containing linker protein,Cytoskeleton
ENOG411CPAZ,D,loc100495245.L,NA,Anoctamin,Cell cycle control and mitosis
ENOG411CPB0,A,"wbp4.S, wbp4.L",WBP4,WW domain binding protein 4,RNA processing and modification
ENOG411CPB1,A,"msi1.S, Xelaev18012844m.g, msi1.L","MSI1, MSI2",musashi homolog,RNA processing and modification
ENOG411CPB3,S,phc3.L,PHC3,polyhomeotic homolog 3 (Drosophila),Function Unknown
ENOG411CPB4,A,ythdc2.L,YTHDC2,YTH domain containing 2,RNA processing and modification
ENOG411CPB5,TZ,"inf2.S, inf2.L",INF2,"inverted formin, FH2 and WH2 domain containing",NA
ENOG411CPB6,Z,"myzap.S, myzap.L",MYZAP,GRINL1A complex locus,Cytoskeleton
ENOG411CPB7,K,"foxi4.1.S, foxi1.S","FOXI1, FOXI3",forkhead box,Transcription
ENOG411CPB8,S,NA,"DGCR6, DGCR6L",DiGeorge syndrome critical region gene,Function Unknown
ENOG411CPB9,S,grwd1.S,GRWD1,Glutamate-rich WD repeat containing 1,Function Unknown
ENOG411CPBB,S,slx4ip.S,SLX4IP,SLX4 interacting protein,Function Unknown
ENOG411CPBC,E,"got2.S, got2.L",GOT2,"glutamic-oxaloacetic transaminase 2, mitochondrial (aspartate aminotransferase 2)",Amino Acid metabolis and transport
